time,methane_concentration,light_intensity,absorption_peak,relativity,pcb_temperature,laser_temperature,tec_current,laser_housing_temperature,SNR,status,ver,err_code,flight_status,longitude,latitude,altitude,relative_altitude,home_distance,speed,dis_code,distance,dest_longitude,dest_latitude,uav_pitch,uav_roll,uav_yaw,gimbal_pitch,gimbal_roll,gimbal_yaw,camera_focal_length,camera_zoom,file_name
2026-03-10_00:56:03:167,0,38,763,989,32,24,163,26,3,0,19,0,2,-75.6987827,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.1,-75.6988395,45.3857590,-1.1,-2.6,-8.3,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:03:267,0,37,763,992,32,24,161,26,4,0,19,0,2,-75.6987828,45.3853645,  32.1,   0.5,0.2, 0.1,0,44.1,-75.6988406,45.3857589,-0.8,-2.2,-8.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:03:368,0,38,763,992,32,24,149,26,2,0,19,0,2,-75.6987828,45.3853645,  32.1,   0.5,0.2, 0.1,0,44.1,-75.6988397,45.3857590,-1.0,-1.8,-8.4,-0.7,-2.0,-5.8,8,8,
2026-03-10_00:56:03:468,0,39,763,990,32,24,155,26,0,0,19,0,2,-75.6987829,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.1,-75.6988407,45.3857590,-1.2,-1.6,-8.4,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:03:568,0,37,763,990,32,24,166,26,0,0,19,0,2,-75.6987829,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.1,-75.6988407,45.3857590,-1.2,-1.6,-8.5,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:03:668,0,37,763,990,32,24,166,26,0,0,19,0,2,-75.6987830,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.1,-75.6988408,45.3857590,-1.2,-1.8,-8.5,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:03:768,0,37,763,990,32,23,160,26,1,0,19,0,2,-75.6987830,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988410,45.3857671,-1.0,-2.0,-8.5,-0.7,-2.0,-5.8,8,8,
2026-03-10_00:56:03:868,0,38,763,989,32,24,148,26,6,0,19,0,2,-75.6987830,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988421,45.3857671,-0.4,-2.2,-8.6,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:03:968,0,37,763,991,32,24,149,26,1,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988411,45.3857671,-0.1,-2.2,-8.6,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:04:068,0,38,763,992,32,24,160,26,2,0,19,0,2,-75.6987831,45.3853645,  32.1,   0.5,0.2, 0.0,0,45.0,-75.6988411,45.3857671,-0.6,-1.7,-8.7,-0.6,-2.0,-5.8,8,8,
